feature,importance
AUS_OTHER,0.023702739143063686
GER_NUC,0.023260834811736446
weekofyear,0.02286974334393057
BEL_NUC,0.022608341527809495
dayofyear,0.02248706833772071
month,0.02085789116752451
SE3_OTHER,0.019703002138415717
NO1_INFLEX,0.01549881868054504
GBR_NUC,0.015149190660211712
BKN_OTHER,0.014809119550438461
SWI_NUC,0.013920842237400763
LAT_OTHER,0.013564962928321043
CZE_NUC,0.01341747470884822
NO5_INFLEX,0.012743390224344503
NO5_OTHER,0.012352436349710824
FIN_NUC,0.011766340083269362
GER_OTHER,0.011610253300067435
FRA_NUC,0.011284865667369031
SE2_OTHER,0.011126511844207269
ESP_OTHER,0.010959252236208743
BKN_NUC,0.010512617233793882
ESP_NUC,0.009992162706531495
NO1_FLEX,0.009314869649080952
CZE_OTHER,0.00913058841898137
NO1_OTHER,0.009092765955090978
SE1_OTHER,0.008837912704718233
FIN_FLEX,0.00860256057829773
SE3_TOT_GEN,0.008595511420229534
IT4_OTHER,0.00852048512475125
POL_OTHER,0.008420135231451631
SE3_INFLEX,0.008346308879145599
SE4_OTHER,0.008294715075396008
FRA_OTHER,0.00806834972121665
EST_OTHER,0.007770594162563927
NO3_OTHER,0.007692050305994447
POR_OTHER,0.007610398697367139
NET_NUC,0.007579036811298176
NO2_OTHER,0.007388231250757455
LIT_OTHER,0.007063255018556265
SE4_INFLEX,0.006962631950217774
FIN_temperature,0.006814708626946713
LAT_FLEX,0.006761424948251669
SE1_temperature,0.006725118672932176
NO4_temperature,0.006657219516735978
NO4_INFLEX,0.006416235443240934
EST_temperature,0.006332820577073333
FRA_TOT_GEN,0.00627417154495968
NO1_TOT_GEN,0.006216223507765891
SE1_INFLEX,0.006138578366085878
SE2_INFLEX,0.006129315246106081
IT2_temperature,0.006040079862692639
NO4_actual_load,0.005906343499422849
FIN_OTHER,0.005732745604966378
DK2_temperature,0.00572634215791183
NO1_actual_load,0.005686278796600976
SE2_temperature,0.005574342585950417
SE3_temperature,0.005520464318432783
IT4_temperature,0.005490666045629898
NO2_INFLEX,0.005490582159296669
IT1_OTHER,0.005430465877074656
EST_FLEX,0.005359985007896959
DK1_temperature,0.0053022523621552384
IT3_temperature,0.005126026389927738
NO3_INFLEX,0.005091626456509954
SE1_TOT_GEN,0.004807417079757803
SE4_temperature,0.00472819669434931
NO3_temperature,0.004723697199710975
POL_temperature,0.004675673366784544
NO2_temperature,0.004638258069440419
BKN_temperature,0.004633675358442855
IT1_temperature,0.004631672177970843
NO4_TOT_GEN,0.004613467720479037
CZE_temperature,0.004594478251999112
LIT_temperature,0.004568385508965848
IT1_actual_load,0.004551895450530245
NO5_temperature,0.004479443809110051
NO5_actual_load,0.004446933230097304
SWI_temperature,0.0043602961674114645
NO1_temperature,0.004323888782296146
BKN_FLEX,0.004309819943295485
DK2_OTHER,0.004200215466883547
POL_TOT_GEN,0.004161060212239981
NET_INFLEX,0.004096328982207447
FRA_actual_load,0.00401385694494959
AUS_temperature,0.003964563948267631
GER_temperature,0.003956565317012371
dayofweek,0.0039081188500811595
NO3_actual_load,0.0038870287014709914
DK1_OTHER,0.0038471818729929586
NO4_FLEX,0.003820673351987053
NET_FLEX,0.0038123572350827624
DK2_FLEX,0.003744141933199201
GBR_temperature,0.0037347710101871615
SE2_TOT_GEN,0.0037176805052466823
ESP_temperature,0.003708759938693585
NO3_FLEX,0.0036609661544933438
CZE_TOT_GEN,0.003652375581584429
LAT_INFLEX,0.00364992861058302
FRA_temperature,0.003600959748071787
IT3_FLEX,0.0035962627583325953
NO2_actual_load,0.003564403171460627
CZE_FLEX,0.003518046143704391
FIN_actual_load,0.003499328297092071
GER_FLEX,0.003496386424760453
NO3_TOT_GEN,0.0033307405531671
NO2_TOT_GEN,0.0033275144801740452
NET_temperature,0.0033255082899869507
AUS_INFLEX,0.003297249646585345
is_weekend,0.0032892907872763165
BKN_TOT_GEN,0.0032871251278107283
IT2_actual_load,0.0032344731058729583
BEL_FLEX,0.0032337986602712252
SE3_actual_load,0.003212976569637302
FIN_TOT_GEN,0.0031529129833221085
POL_actual_load,0.0031286320684199265
BKN_INFLEX,0.0031280616019267156
GBR_OTHER,0.0030894956137424976
NO2_FLEX,0.0030749164282893398
FRA_FLEX,0.0030707549099384477
DK1_FLEX,0.003069233216875364
LAT_TOT_GEN,0.0030410376806228223
POL_FLEX,0.0029166699727702352
IT4_FLEX,0.002912288066201525
POR_temperature,0.0029032248226652495
IT3_TOT_GEN,0.0028930490231833554
DK2_TOT_GEN,0.0027969470298164576
IT3_OTHER,0.0027624245137932205
IT1_INFLEX,0.0026456499972928433
BEL_TOT_GEN,0.0026212342188497604
SWI_INFLEX,0.0025863029571316755
NO5_TOT_GEN,0.002585024368636595
SE4_TOT_GEN,0.0025558416812707626
BEL_temperature,0.002527081459456942
NO5_FLEX,0.002480664751560189
BEL_OTHER,0.00247612652583844
GER_INFLEX,0.002457043606897513
DK2_INFLEX,0.0023833385676853567
FIN_INFLEX,0.002359555003675075
POL_INFLEX,0.002349257191708511
SE4_actual_load,0.002280211502104314
DK1_INFLEX,0.0022435032168284285
GER_actual_load,0.0022157066226182226
GER_TOT_GEN,0.00221101619361358
ESP_FLEX,0.002210573335454802
EST_TOT_GEN,0.0021436907043646427
AUS_actual_load,0.002139952458307102
FRA_INFLEX,0.0021362538424229333
LIT_FLEX,0.0021346455680075972
CZE_actual_load,0.0021167912627155783
IT1_FLEX,0.0021025042973430493
ESP_actual_load,0.0020830722537246763
GBR_FLEX,0.0020830464504056575
IT2_FLEX,0.0020819519666565394
IT2_OTHER,0.002058540864809206
BKN_actual_load,0.002046242522132846
DK1_TOT_GEN,0.0020236297970506853
IT1_TOT_GEN,0.0020235752889185264
POR_INFLEX,0.0020124706657598597
NET_OTHER,0.002001508509482716
ESP_INFLEX,0.0019956589533965652
NET_actual_load,0.0019908558925943137
POR_FLEX,0.0019679964499675177
GBR_INFLEX,0.0018732078817653445
ESP_TOT_GEN,0.0018588224359302084
BEL_actual_load,0.0018527820270485655
EST_INFLEX,0.001828346880562158
IT4_TOT_GEN,0.001810289011606371
POR_TOT_GEN,0.0018066352304633064
BEL_INFLEX,0.001804965876695101
GBR_OG_TOT_GEN,0.0017906499389622663
IT3_actual_load,0.001779193169343522
GBR_TOT_GEN,0.0017729443051823922
NET_TOT_GEN,0.001699772645802424
LIT_INFLEX,0.0016864511362826647
GBR_actual_load,0.0016523400380717202
IT2_TOT_GEN,0.001642110714714983
AUS_TOT_GEN,0.0016329930115633572
POR_actual_load,0.0015721881329960055
CZE_INFLEX,0.001548106959552961
EST_actual_load,0.0015475126815011906
IT2_INFLEX,0.0015226002532476406
DK1_actual_load,0.0015030402755816428
SWI_actual_load,0.0015026541659610483
IT4_actual_load,0.0014958443368168883
SWI_TOT_GEN,0.0014707899559440022
IT4_INFLEX,0.001457692442462743
AUS_FLEX,0.001440805186942186
LIT_TOT_GEN,0.0014197471331819814
IT3_INFLEX,0.001410677036802916
LAT_actual_load,0.0013803003122162183
DK2_actual_load,0.0013640486279481747
SE2_actual_load,0.0013558667228737208
LIT_actual_load,0.0013052453453931097
SWI_FLEX,0.0012031724555566661
hour,0.0009689897443753751
SE1_actual_load,0.0008989324432411033
