Epoch,AT_to_IT_NORD_Accuracy,IT_NORD_to_AT_Accuracy,AT_to_CH_Accuracy,CH_to_AT_Accuracy,BE_to_GB_Accuracy,GB_to_BE_Accuracy,IT_NORD_to_SI_Accuracy,DK_1_to_DE_LU_Accuracy,DE_LU_to_DK_1_Accuracy,DK_1_to_NL_Accuracy,NL_to_DK_1_Accuracy,DK_2_to_DE_LU_Accuracy,DE_LU_to_DK_2_Accuracy,ES_to_FR_Accuracy,FR_to_ES_Accuracy,ES_to_PT_Accuracy,FR_to_GB_Accuracy,GB_to_FR_Accuracy,IT_NORD_to_FR_Accuracy,FR_to_CH_Accuracy,CH_to_FR_Accuracy,GB_to_NL_Accuracy,NL_to_GB_Accuracy,DE_LU_to_CH_Accuracy,CH_to_DE_LU_Accuracy,IT_NORD_to_CH_Accuracy,NL_to_NO_2_Accuracy,NO_2_to_NL_Accuracy
1,0.0392156862745098,0.12781954887218044,0.14620711362920993,0.7662480376766091,0.5574526995846792,0.8289067325509574,0.7561913551761268,0.25023430178069356,0.6932258564563634,0.8511139002196423,0.932761087267525,0.33548684817720353,0.3894785417628057,0.01804123711340206,0.11980136561142148,0.015336894709632948,0.19310132429935326,0.15552817985833076,0.46787853749225367,0.15489924626980464,0.42708817604215094,0.5015812776723593,0.5144481288488868,0.4066887521691118,0.869097061990463,0.7177357329641594,0.18366405168435626,0.15028457160436856
2,0.08759590792838874,0.1063688633348076,0.12684922883223165,0.7576138147566719,0.7412705737578834,0.9342186534898085,0.7978772496538994,0.3147453920649797,0.6932258564563634,0.8511139002196423,0.932761087267525,0.13105676049838486,0.10690662974926934,0.0194909793814433,0.1478895096213532,0.01895571256246769,0.31506005543578686,0.3005851555281799,0.4804792398264821,0.3350253807106599,0.507205950720595,0.6279253636938646,0.623085425548713,0.40242940526896986,0.869097061990463,0.7714197815720658,0.4456237501922781,0.431625903707122
3,0.12276214833759591,0.30340557275541796,0.13109852061693422,0.5596546310832025,0.7435779110906015,0.9342186534898085,0.7503461005999077,0.31443298969072164,0.6932258564563634,0.8511139002196423,0.932761087267525,0.1172127365020766,0.026457468081833566,0.02496778350515464,0.14959652389819988,0.018783387902808892,0.22359100708346166,0.2973514012935017,0.49535219995868623,0.3745577603445624,0.507205950720595,0.3782416192283365,0.4478130427917259,0.39801230477993377,0.869097061990463,0.7903399477003538,0.2982618058760191,0.2648823257960314
4,0.15409207161125318,0.31977001326846527,0.10686181932640856,0.6425431711145997,0.7285033071835102,0.9342186534898085,0.6183664051684357,0.24867228990940332,0.6932258564563634,0.8413868842171321,0.9314894293435066,0.14736194431625904,0.0515305337640363,0.017235824742268042,0.14183736809435132,0.01706014130622092,0.25100092392978135,0.22097320603634124,0.5025821111340633,0.21965851407475773,0.507205950720595,0.4519291587602783,0.3011211116374546,0.4259346900141978,0.869097061990463,0.6554376249807722,0.4276265189970774,0.3517920319950777
5,0.17135549872122763,0.4146395400265369,0.08860560276990873,0.6563579277864993,0.7561913551761268,0.9342186534898085,0.7183510229195509,0.24914089347079038,0.6932258564563634,0.835738939441481,0.9267207121284374,0.25626826642055067,0.06306722042762652,0.02077963917525773,0.13609559279950342,0.016715491986903325,0.22667077302125038,0.2229750538959039,0.49535219995868623,0.25088447931087526,0.5068960173562684,0.37602783048703353,0.3415442918048318,0.41867802492506706,0.869097061990463,0.7297338870942932,0.3534840793724042,0.27503461005999075
6,0.16687979539641945,0.3653250773993808,0.08907774630154233,0.4197802197802198,0.7644977695739117,0.9342186534898085,0.7285033071835102,0.2600749765698219,0.6932258564563634,0.8395042359585817,0.9294229852169766,0.3130287648054145,0.13105676049838486,0.012725515463917526,0.11793916821849783,0.01757711528519731,0.1971050200184786,0.20449645826917154,0.5032018178062384,0.23011844331641285,0.507205950720595,0.4444971537001898,0.43391757460918995,0.44896671399274335,0.869097061990463,0.7589601599753883,0.43147208121827413,0.2753422550376865
7,0.17604433077578857,0.45311808934099956,0.08655964746616304,0.4368916797488226,0.7641901245962159,0.9342186534898085,0.735886786648208,0.3077163386441737,0.6932258564563634,0.8374647003451522,0.9283102845334605,0.345485309952315,0.2822642670358406,0.01675257731958763,0.13159528243327126,0.01895571256246769,0.28657222051124115,0.2713273791191869,0.5050609378227638,0.23334871558221812,0.507205950720595,0.42330803289057556,0.42160113690194223,0.4521217857706263,0.869097061990463,0.7674203968620212,0.5376095985233041,0.46915859098600216
8,0.17497868712702472,0.4577620521892968,0.08183821214982688,0.3929356357927786,0.7675742193508691,0.9342186534898085,0.7155822181202892,0.2611683848797251,0.6932258564563634,0.8321305302792595,0.9219519949133683,0.1404399323181049,0.10352253499461621,0.019813144329896906,0.11250775915580385,0.021712907117008445,0.29411764705882354,0.2608561749307053,0.505267506713489,0.23688663282571912,0.507205950720595,0.42662871600253005,0.42475919785251853,0.4603249723931219,0.869097061990463,0.7198892478080295,0.5359175511459775,0.3648669435471466
9,0.17242114236999148,0.4805395842547545,0.09458608750393453,0.38351648351648354,0.7652668820181511,0.9342186534898085,0.6645131518227965,0.28647297719462667,0.6825298403348318,0.8282083464072796,0.9190907645843268,0.20812182741116753,0.1890478387940317,0.017235824742268042,0.09155803848541279,0.021885231776667242,0.3001231906375115,0.29796735448105943,0.5112580045445156,0.2162744193201046,0.507205950720595,0.42915876027830485,0.42207484604452866,0.45906294368196876,0.869097061990463,0.6806645131518227,0.5374557760344563,0.44039378557145054
10,0.17476555839727195,0.4893852277753207,0.09348441926345609,0.4021978021978022,0.7788032610367636,0.9342186534898085,0.6508229503153361,0.2983442674164324,0.6625329406293597,0.8335425164731722,0.9238594817993959,0.25626826642055067,0.3014920781418243,0.022390463917525773,0.09636871508379888,0.025848698948819575,0.2888820449645827,0.28919002155836154,0.505267506713489,0.2242731887401938,0.507205950720595,0.4258380771663504,0.4186009789988947,0.46111374033759267,0.869097061990463,0.6778957083525612,0.5374557760344563,0.4854637748038763
11,0.17753623188405798,0.4882795223352499,0.0994649039974819,0.4324960753532182,0.7823411782802646,0.9342186534898085,0.6451315182279649,0.3133395813808185,0.6772593396372656,0.8336994038280514,0.923382610077889,0.32256575911398244,0.32056606675896016,0.02190721649484536,0.08628181253879579,0.02481475099086679,0.2838004311672313,0.27656298121342776,0.5060937822763891,0.21996615905245348,0.507205950720595,0.4391208096141683,0.43597031422706456,0.4647420728821581,0.869097061990463,0.6731272111982772,0.536532841101369,0.483464082448854
12,0.16901108269394716,0.4878372401592216,0.09568775574441298,0.41475667189952903,0.740501461313644,0.9274243360098826,0.6328257191201354,0.25039050296782256,0.6323050689815533,0.7102290555381237,0.9003338102050549,0.15136132902630364,0.1329026303645593,0.02496778350515464,0.09512725015518311,0.02739962088574875,0.2546966430551278,0.2064983061287342,0.5050609378227638,0.2171973542531918,0.507205950720595,0.4323213156230234,0.428706774040739,0.46237576904874583,0.8507921858175665,0.6608214120904476,0.329026303645593,0.2707275803722504
13,0.16922421142369992,0.5008845643520566,0.09773371104815864,0.3913657770800628,0.7657283494846947,0.9337554045707227,0.6257498846331334,0.2507029053420806,0.6493566888854441,0.7670222780043928,0.9155937052932761,0.1561298261805876,0.14490078449469312,0.02416237113402062,0.07759155803848541,0.029467516801654315,0.2871881736987989,0.2682476131813982,0.5044412311505887,0.20073834794646978,0.507205950720595,0.433270082226439,0.42854887099321015,0.4622180154598517,0.8647900323027227,0.6537455776034456,0.3974773111828949,0.32502691893554836
14,0.1715686274509804,0.5152587350729766,0.09222536984576644,0.40078492935635796,0.7823411782802646,0.9342186534898085,0.6157514228580219,0.2513277100905967,0.646256394357464,0.8286790084719171,0.9232236528373867,0.1319796954314721,0.11844331641285956,0.025128865979381444,0.095747982619491,0.02619334826813717,0.29211579919926084,0.29534955343393904,0.4990704399917372,0.21873557914167052,0.507205950720595,0.40575585072738773,0.4045476077688299,0.45543461113740336,0.869097061990463,0.6446700507614214,0.536532841101369,0.47177357329641595
15,0.1736999147485081,0.5084033613445378,0.07869058860560277,0.3723704866562009,0.7858790955237656,0.9342186534898085,0.6205199200123058,0.2499218994064355,0.6930708417299644,0.8321305302792595,0.9225878238753775,0.12598061836640517,0.13505614520842948,0.02931701030927835,0.08131595282433271,0.022919179734620022,0.28195257160455806,0.2871881736987989,0.5056806444949391,0.22119673896323644,0.507205950720595,0.422517394054396,0.4233380704247592,0.4674238838933586,0.869097061990463,0.6526688201815105,0.5366866635902169,0.47808029533917856
16,0.1745524296675192,0.5112781954887218,0.07507082152974505,0.376138147566719,0.7861867405014613,0.9342186534898085,0.6291339793877865,0.24976569821930647,0.6921407533715703,0.8300909946658299,0.919726593546336,0.15689893862482696,0.145054606983541,0.030283505154639175,0.09155803848541279,0.023608478373255214,0.2796427471512165,0.2745611333538651,0.5056806444949391,0.23565605291493616,0.507205950720595,0.40528146742567994,0.4078635717669351,0.4658463480044171,0.869097061990463,0.6611290570681434,0.5368404860790648,0.47823411782802644
17,0.17114236999147486,0.5084033613445378,0.07522820270695625,0.3816326530612245,0.7828026457468081,0.9342186534898085,0.6215966774342409,0.2513277100905967,0.6924507828243683,0.8175400062754942,0.9205213797488475,0.1389017074296262,0.1353637901861252,0.029478092783505154,0.09652389819987585,0.025331724969843185,0.2767169695103172,0.27394518016630737,0.5036149555876885,0.23673281033687124,0.507205950720595,0.39990512333965844,0.3979156797726196,0.4655308408266288,0.869097061990463,0.6518997077372712,0.535456083679434,0.4663897861867405
18,0.17753623188405798,0.5174701459531181,0.07711677683349072,0.3927786499215071,0.7831102907245039,0.9342186534898085,0.6286725119212428,0.25445173383317715,0.6929158270035654,0.8313460935048635,0.9211572087108568,0.14228580218427933,0.137978772496539,0.029961340206185568,0.09217877094972067,0.027227296226089954,0.27440714505697567,0.269941484447182,0.5081594711836398,0.22842639593908629,0.507205950720595,0.40370018975332067,0.4004421285330807,0.46300678340432244,0.869097061990463,0.6578987848023381,0.5349946162128904,0.47269650822950315
19,0.17306052855924978,0.5110570544007077,0.0764872521246459,0.3869701726844584,0.7871096754345486,0.9342186534898085,0.6385171512075065,0.26601062168072476,0.6930708417299644,0.834954502667085,0.9232236528373867,0.17105060759883095,0.14936163667128133,0.030283505154639175,0.09078212290502793,0.02619334826813717,0.2788728056667693,0.2776408992916538,0.5067134889485644,0.22904168589447776,0.507205950720595,0.32574320050600886,0.37091425864519184,0.45764316138192146,0.869097061990463,0.6588217197354254,0.5373019535456084,0.4759267804953084
20,0.17476555839727195,0.5176912870411322,0.07491344035253383,0.3784929356357928,0.7854176280572219,0.9342186534898085,0.6575911398246423,0.25773195876288657,0.6930708417299644,0.8329149670536555,0.923382610077889,0.17658821719735426,0.14736194431625904,0.029639175257731958,0.08736809435133458,0.02791659486472514,0.28102864182322146,0.2805666769325531,0.5073331956207395,0.24288570989078603,0.507205950720595,0.30091714104996836,0.3589136270330017,0.4607982331598044,0.869097061990463,0.6615905245346869,0.5368404860790648,0.4756191355176127
